"Fecha","Homicidios dolosos"
1997-01-01,1410
1997-02-01,1406
1997-03-01,1551
1997-04-01,1371
1997-05-01,1432
1997-06-01,1400
1997-07-01,1274
1997-08-01,1325
1997-09-01,1329
1997-10-01,1364
1997-11-01,1473
1997-12-01,1531
1998-01-01,1314
1998-02-01,1189
1998-03-01,1447
1998-04-01,1379
1998-05-01,1423
1998-06-01,1323
1998-07-01,1215
1998-08-01,1116
1998-09-01,1149
1998-10-01,938
1998-11-01,837
1998-12-01,886
1999-01-01,1203
1999-02-01,1209
1999-03-01,1268
1999-04-01,1152
1999-05-01,1271
1999-06-01,1146
1999-07-01,1192
1999-08-01,1262
1999-09-01,1212
1999-10-01,1254
1999-11-01,1159
1999-12-01,1291
2000-01-01,1249
2000-02-01,1226
2000-03-01,1175
2000-04-01,1123
2000-05-01,1123
2000-06-01,1011
2000-07-01,1154
2000-08-01,1096
2000-09-01,1232
2000-10-01,1110
2000-11-01,1141
2000-12-01,1209
2001-01-01,1200
2001-02-01,1115
2001-03-01,1217
2001-04-01,1210
2001-05-01,1233
2001-06-01,1202
2001-07-01,1248
2001-08-01,1130
2001-09-01,1028
2001-10-01,1094
2001-11-01,1031
2001-12-01,1147
2002-01-01,1156
2002-02-01,1076
2002-03-01,1123
2002-04-01,1147
2002-05-01,1162
2002-06-01,1058
2002-07-01,1104
2002-08-01,1130
2002-09-01,1029
2002-10-01,1011
2002-11-01,1058
2002-12-01,1094
2003-01-01,1084
2003-02-01,1032
2003-03-01,1127
2003-04-01,1066
2003-05-01,1114
2003-06-01,1016
2003-07-01,1057
2003-08-01,1038
2003-09-01,1050
2003-10-01,1036
2003-11-01,1046
2003-12-01,1010
2004-01-01,938
2004-02-01,939
2004-03-01,1052
2004-04-01,1002
2004-05-01,1013
2004-06-01,1039
2004-07-01,892
2004-08-01,922
2004-09-01,878
2004-10-01,1002
2004-11-01,984
2004-12-01,997
2005-01-01,952
2005-02-01,921
2005-03-01,955
2005-04-01,1023
2005-05-01,990
2005-06-01,1026
2005-07-01,928
2005-08-01,839
2005-09-01,890
2005-10-01,900
2005-11-01,890
2005-12-01,932
2006-01-01,995
2006-02-01,882
2006-03-01,1003
2006-04-01,959
2006-05-01,1049
2006-06-01,986
2006-07-01,938
2006-08-01,957
2006-09-01,976
2006-10-01,1038
2006-11-01,1002
2006-12-01,1021
2007-01-01,798
2007-02-01,720
2007-03-01,911
2007-04-01,912
2007-05-01,1010
2007-06-01,894
2007-07-01,795
2007-08-01,795
2007-09-01,830
2007-10-01,865
2007-11-01,885
2007-12-01,838
2008-01-01,932
2008-02-01,866
2008-03-01,987
2008-04-01,961
2008-05-01,1159
2008-06-01,1118
2008-07-01,1154
2008-08-01,1120
2008-09-01,1074
2008-10-01,1275
2008-11-01,1330
2008-12-01,1179
2009-01-01,1184
2009-02-01,1266
2009-03-01,1193
2009-04-01,1232
2009-05-01,1268
2009-06-01,1400
2009-07-01,1375
2009-08-01,1439
2009-09-01,1478
2009-10-01,1358
2009-11-01,1349
2009-12-01,1576
2010-01-01,1565
2010-02-01,1310
2010-03-01,1627
2010-04-01,1667
2010-05-01,1864
2010-06-01,1794
2010-07-01,1762
2010-08-01,1822
2010-09-01,1662
2010-10-01,1903
2010-11-01,1526
2010-12-01,1641
2011-01-01,1836
2011-02-01,1660
2011-03-01,1838
2011-04-01,1835
2011-05-01,2108
2011-06-01,2009
2011-07-01,1974
2011-08-01,1977
2011-09-01,1836
2011-10-01,1926
2011-11-01,1708
2011-12-01,1702
2012-01-01,1750
2012-02-01,1654
2012-03-01,1794
2012-04-01,1860
2012-05-01,1978
2012-06-01,1862
2012-07-01,1807
2012-08-01,1911
2012-09-01,1824
2012-10-01,1662
2012-11-01,1658
2012-12-01,1699
2013-01-01,1515
2013-02-01,1419
2013-03-01,1595
2013-04-01,1643
2013-05-01,1620
2013-06-01,1569
2013-07-01,1468
2013-08-01,1464
2013-09-01,1478
2013-10-01,1509
2013-11-01,1394
2013-12-01,1432
2014-01-01,1369
2014-02-01,1283
2014-03-01,1412
2014-04-01,1367
2014-05-01,1397
2014-06-01,1206
2014-07-01,1197
2014-08-01,1286
2014-09-01,1245
2014-10-01,1284
2014-11-01,1226
2014-12-01,1254
2015-01-01,1197
2015-02-01,1218
2015-03-01,1235
2015-04-01,1297
2015-05-01,1410
2015-06-01,1360
2015-07-01,1360
2015-08-01,1516
2015-09-01,1383
2015-10-01,1352
2015-11-01,1425
2015-12-01,1366
2016-01-01,1422
2016-02-01,1434
2016-03-01,1506
2016-04-01,1474
2016-05-01,1709
2016-06-01,1597
2016-07-01,1817
2016-08-01,1901
2016-09-01,1907
2016-10-01,1774
2016-11-01,1808
2016-12-01,1799
2017-01-01,1912
2017-02-01,1807
2017-03-01,1978
2017-04-01,1939
2017-05-01,2149
2017-06-01,2187
2017-07-01,2015
2017-08-01,2113
2017-09-01,2162
2017-10-01,2362
2017-11-01,2189
2017-12-01,2222
2018-01-01,2172
2018-02-01,2075
2018-03-01,2386
2018-04-01,2403
2018-05-01,2571
2018-06-01,2368
2018-07-01,2640
2018-08-01,2566
2018-09-01,2583
2018-10-01,2479
2018-11-01,2374
2018-12-01,2478
2019-01-01,2483
2019-02-01,2405
2019-03-01,2443
2019-04-01,2329
2019-05-01,2485
2019-06-01,2565
2019-07-01,2556
2019-08-01,2497
2019-09-01,2404
2019-10-01,2437
2019-11-01,2465
2019-12-01,2430
2020-01-01,2375
2020-02-01,2310
2020-03-01,2633
2020-04-01,2477
2020-05-01,2422
2020-06-01,2372
2020-07-01,2477
2020-08-01,2554
2020-09-01,2299
2020-10-01,2413
2020-11-01,2249
2020-12-01,2258
2021-01-01,2329
2021-02-01,2226
2021-03-01,2508
2021-04-01,2458
2021-05-01,2600
2021-06-01,2266
2021-07-01,2408
2021-08-01,2401
2021-09-01,2321
2021-10-01,2342
2021-11-01,2147
2021-12-01,2274
2022-01-01,2063
2022-02-01,1901
2022-03-01,2186
2022-04-01,2145
2022-05-01,2431
2022-06-01,2224
2022-07-01,2276
2022-08-01,2217
2022-09-01,2263
2022-10-01,2368
2022-11-01,2021
2022-12-01,2183
2023-01-01,2208
2023-02-01,1922
2023-03-01,2139
2023-04-01,2091
2023-05-01,2245
2023-06-01,2182
2023-07-01,2098
2023-08-01,2153
2023-09-01,2182
2023-10-01,2035
2023-11-01,2037
2023-12-01,1990
2024-01-01,2048
2024-02-01,1941
