,id_venta,fecha,sucursal,vendedor,categoria,unidades,precio_unit,edad_cliente,estatus
0,1,2024-02-02,Sur,Pedro,B,1,207.33,67,1
1,2,2024-10-09,Centro,Pedro,C,6,153.66,45,3
2,3,2024-08-26,Sur,Luis,C,10,173.23,72,1
3,4,2024-06-09,Centro,Pedro,A,18,147.73,74,1
4,5,2024-06-07,Sur,Luis,C,15,143.18,51,3
5,6,2024-11-09,Norte,Marta,B,15,118.82,56,1
6,7,2024-02-01,Centro,Luis,A,11,167.21,32,2
7,8,2024-09-11,Centro,Ana,B,3,115.94,64,3
8,9,2024-03-14,Norte,Pedro,C,8,176.62,56,2
9,10,2024-02-04,Centro,Ana,C,19,193.41,69,2
10,11,2024-07-11,Norte,Ana,C,1,164.66,33,2
11,12,2024-12-22,Centro,Ana,B,17,138.55,62,1
12,13,2024-09-25,Centro,Luis,C,14,168.16,44,2
13,14,2024-10-04,Sur,Ana,B,6,137.65,28,3
14,15,2024-09-18,Centro,Ana,C,15,187.42,27,1
15,16,2024-10-13,Norte,Marta,B,16,76.74,50,3
16,17,2024-07-06,Norte,Pedro,A,1,136.58,36,2
17,18,2024-02-16,Norte,Ana,A,3,70.37,23,2
18,19,2024-11-02,Sur,Luis,A,13,90.2,42,1
19,20,2024-06-13,Centro,Marta,A,19,204.55,55,2
20,21,2024-07-01,Norte,Pedro,B,1,185.81,36,1
21,22,2024-05-15,Sur,Marta,B,13,121.22,72,1
22,23,2024-03-07,Centro,Pedro,A,3,89.9,62,3
23,24,2024-12-04,Norte,Marta,B,13,31.42,47,1
24,25,2024-10-12,Centro,Luis,B,12,128.26,71,2
25,26,2024-08-23,Norte,Ana,A,2,246.82,42,2
26,27,2024-05-26,Centro,Pedro,B,13,167.4,25,1
27,28,2024-10-27,Sur,Pedro,B,18,127.62,20,1
28,29,2024-07-18,Sur,Ana,B,17,168.6,71,2
29,30,2024-06-10,Norte,Marta,B,1,87.56,72,2
30,31,2024-06-13,Sur,Ana,C,5,138.11,60,3
31,32,2024-03-23,Centro,Marta,A,5,153.98,23,3
32,33,2024-02-03,Norte,Pedro,B,9,146.56,34,1
33,34,2024-07-21,Centro,Ana,B,3,181.63,20,1
34,35,2024-11-20,Sur,Luis,A,17,163.79,20,1
35,36,2024-01-24,Centro,Ana,C,15,176.73,32,2
36,37,2024-11-09,Sur,Marta,A,16,122.47,50,1
37,38,2024-10-29,Sur,Pedro,A,4,185.91,21,1
38,39,2024-04-11,Norte,Ana,C,1,215.16,74,3
39,40,2024-08-18,Sur,Luis,C,18,111.19,43,3
40,41,2024-03-01,Norte,Pedro,C,6,114.49,33,3
41,42,2024-10-03,Sur,Luis,C,13,203.43,47,1
42,43,2024-09-12,Norte,Ana,C,18,142.35,63,2
43,44,2024-05-09,Sur,Luis,B,1,206.15,35,2
44,45,2024-01-25,Sur,Marta,C,1,132.3,20,1
45,46,2024-12-20,Norte,Marta,A,1,208.2,20,2
46,47,2024-06-11,Centro,Luis,B,3,155.26,66,2
47,48,2024-11-21,Sur,Pedro,B,1,160.33,24,2
48,49,2024-09-04,Centro,Marta,C,16,212.59,54,3
49,50,2024-10-11,Norte,Luis,C,12,135.53,39,3
50,51,2024-10-04,Norte,Pedro,B,19,112.36,62,2
51,52,2024-03-12,Sur,Pedro,B,16,132.06,21,3
52,53,2024-05-12,Norte,Luis,A,19,168.09,69,3
53,54,2024-06-19,Norte,Ana,C,5,87.37,57,2
54,55,2024-06-30,Sur,Marta,B,6,175.5,43,1
55,56,2024-01-16,Norte,Marta,B,17,128.45,29,3
56,57,2024-07-18,Centro,Ana,C,5,195.91,73,3
57,58,2024-02-26,Norte,Marta,B,2,54.23,35,3
58,59,2024-09-28,Norte,Pedro,A,13,118.54,45,1
59,60,2024-09-06,Sur,Ana,A,16,82.54,40,2
60,61,2024-12-02,Centro,Marta,A,19,116.95,31,3
61,62,2024-09-28,Norte,Ana,C,18,159.91,41,2
62,63,2024-05-13,Norte,Marta,A,3,142.83,26,3
63,64,2024-12-19,Centro,Luis,A,15,139.86,18,1
64,65,2024-05-29,Centro,Ana,B,17,143.63,34,1
65,66,2024-04-28,Sur,Pedro,C,14,158.14,24,3
66,67,2024-11-26,Sur,Ana,B,16,109.66,41,2
